year,month,stateDescription,sectorName,price,revenue,sales,tavg
2017,5,Alabama,all sectors,9.71,678.04878,6980.78642,71.9
2017,6,Alabama,all sectors,10.1,762.76879,7554.98592,77.2
2017,7,Alabama,all sectors,10.19,872.8485,8562.71345,81.1
2017,8,Alabama,all sectors,10.18,870.70093,8549.97382,80.0
2017,9,Alabama,all sectors,10.26,757.37851,7379.41741,75.3
2017,10,Alabama,all sectors,9.75,677.16913,6944.66252,67.4
2017,11,Alabama,all sectors,9.6,622.66027,6483.24745,56.4
2017,12,Alabama,all sectors,9.45,691.05537,7314.88765,48.1
2018,1,Alabama,all sectors,9.66,827.89512,8571.05263,43.9
2018,2,Alabama,all sectors,9.33,614.53174,6586.13724,60.8
2018,3,Alabama,all sectors,9.36,628.51035,6713.36877,56.4
2018,4,Alabama,all sectors,9.39,589.33378,6276.03058,60.3
2018,5,Alabama,all sectors,9.61,698.78479,7274.54457,74.9
2018,6,Alabama,all sectors,9.91,808.52295,8162.50338,79.7
2018,7,Alabama,all sectors,9.85,857.58736,8707.46856,80.8
2018,8,Alabama,all sectors,9.91,858.05169,8655.22967,79.1
2018,9,Alabama,all sectors,9.95,812.45799,8165.12099,79.9
2018,10,Alabama,all sectors,9.46,682.3583,7216.8753,69.5
2018,11,Alabama,all sectors,9.52,644.01039,6765.90881,52.0
2018,12,Alabama,all sectors,9.36,672.36045,7186.21551,51.2
2019,1,Alabama,all sectors,9.35,712.2723,7620.00922,48.0
2019,2,Alabama,all sectors,9.53,618.52714,6487.73106,59.4
2019,3,Alabama,all sectors,9.56,639.38959,6686.66241,57.2
2019,4,Alabama,all sectors,9.85,617.22936,6266.00059,65.8
2019,5,Alabama,all sectors,9.96,722.42614,7254.10561,76.0
2019,6,Alabama,all sectors,9.99,777.54323,7784.53318,79.5
2019,7,Alabama,all sectors,10.38,886.43782,8538.54546,81.1
2019,8,Alabama,all sectors,10.32,899.24802,8715.53689,81.4
2019,9,Alabama,all sectors,10.31,853.21801,8273.1129,82.2
2019,10,Alabama,all sectors,9.79,689.27956,7043.19292,70.3
2019,11,Alabama,all sectors,9.8,638.89945,6517.01852,52.8
2019,12,Alabama,all sectors,8.75,604.2855,6908.66325,52.8
2020,1,Alabama,all sectors,9.53,683.99992,7176.42851,51.9
2020,2,Alabama,all sectors,9.44,635.71477,6737.74734,53.2
2020,3,Alabama,all sectors,9.34,605.21129,6479.78199,65.3
2020,4,Alabama,all sectors,9.62,549.18119,5708.45118,64.3
2020,5,Alabama,all sectors,9.73,609.05065,6260.68982,70.7
2020,6,Alabama,all sectors,10.31,741.24067,7187.13224,77.8
2020,7,Alabama,all sectors,10.41,855.68109,8223.47991,80.8
2020,8,Alabama,all sectors,10.33,865.63592,8381.1636,80.8
2020,9,Alabama,all sectors,10.36,756.35961,7297.99223,75.3
2020,10,Alabama,all sectors,9.83,636.89355,6477.24728,69.0
2020,11,Alabama,all sectors,9.78,602.10196,6154.98385,60.0
2020,12,Alabama,all sectors,9.11,665.71538,7310.50707,47.1
2021,1,Alabama,all sectors,9.8,740.97901,7559.43726,48.8
2021,2,Alabama,all sectors,10.42,722.93819,6936.70306,49.6
2021,3,Alabama,all sectors,10.03,665.14548,6634.89267,60.5
2021,4,Alabama,all sectors,10.15,625.43982,6161.02403,62.9
2021,5,Alabama,all sectors,10.15,669.21073,6590.69643,71.2
2021,6,Alabama,all sectors,10.56,792.30911,7504.19944,77.4
2021,7,Alabama,all sectors,10.74,882.29728,8211.34062,78.7
2021,8,Alabama,all sectors,10.83,921.8544,8514.31719,79.6
2021,9,Alabama,all sectors,10.62,800.40739,7536.51923,74.1
2021,10,Alabama,all sectors,10.4,709.7927,6824.4375,67.7
2021,11,Alabama,all sectors,10.39,673.64038,6483.34643,52.2
2021,12,Alabama,all sectors,7.69,509.42702,6628.25214,57.2
2022,1,Alabama,all sectors,10.51,812.12919,7726.09409,44.9
2022,2,Alabama,all sectors,10.3,698.83441,6785.33508,51.8
2022,3,Alabama,all sectors,10.3,668.37923,6487.58825,58.7
2022,4,Alabama,all sectors,10.74,659.386,6141.77423,63.8
2022,5,Alabama,all sectors,11.25,808.06789,7180.35205,74.2
2022,6,Alabama,all sectors,12.2,1005.00579,8235.07041,81.3
2022,7,Alabama,all sectors,12.59,1118.30661,8879.87429,81.4
2022,8,Alabama,all sectors,13.13,1114.63462,8486.04952,78.8
2022,9,Alabama,all sectors,12.59,934.52168,7423.14707,74.8
2022,10,Alabama,all sectors,11.59,733.9718,6335.50907,62.4
2022,11,Alabama,all sectors,11.95,750.20338,6280.4966,57.1
2022,12,Alabama,all sectors,11.05,781.10107,7066.25434,51.1
2023,1,Alabama,all sectors,11.43,813.82889,7121.51804,52.7
2023,2,Alabama,all sectors,11.86,750.38592,6329.09534,58.7
2023,3,Alabama,all sectors,11.02,720.32058,6536.50754,60.8
2023,4,Alabama,all sectors,10.74,664.6448,6188.47785,65.2
2023,5,Alabama,all sectors,11.11,746.81032,6722.44477,71.1
2023,6,Alabama,all sectors,11.78,896.65022,7614.18498,77.5
2023,7,Alabama,all sectors,11.96,1029.86933,8609.33791,81.3
2023,8,Alabama,all sectors,11.76,1051.46029,8944.48439,82.7
2023,9,Alabama,all sectors,11.7,918.81784,7856.24154,76.5
2023,10,Alabama,all sectors,11.48,748.37922,6516.6225,66.2
2023,11,Alabama,all sectors,11.6,741.63968,6391.99899,56.1
2023,12,Alabama,all sectors,11.21,784.13744,6997.08197,51.1
2024,1,Alabama,all sectors,11.86,951.03123,8019.81521,46.8
2001,1,Alaska,all sectors,9.97,51.96404,521.03566,36.8
2001,2,Alaska,all sectors,9.92,48.19988,486.09655,28.3
2001,3,Alaska,all sectors,10.91,48.43955,443.79575,33.6
2001,4,Alaska,all sectors,10.59,46.82643,442.19678,40.5
2001,5,Alaska,all sectors,10.55,43.88737,415.90066,45.5
2001,6,Alaska,all sectors,10.58,43.83628,414.23448,54.3
2001,7,Alaska,all sectors,10.39,43.74995,421.09334,55.6
2001,8,Alaska,all sectors,10.78,45.5571,422.70564,57.1
2001,9,Alaska,all sectors,10.24,44.04725,429.95111,50.5
2001,10,Alaska,all sectors,11.19,48.96076,437.61982,42.1
2001,11,Alaska,all sectors,10.68,51.93896,486.52873,33.1
2001,12,Alaska,all sectors,10.75,57.30742,532.92149,29.2
2002,1,Alaska,all sectors,10.25,53.66949,523.63796,30.3
2002,2,Alaska,all sectors,10.15,50.28615,495.40221,31.3
2002,3,Alaska,all sectors,10.75,49.74444,462.81658,28.5
2002,4,Alaska,all sectors,10.68,48.15025,450.73397,36.4
2002,5,Alaska,all sectors,10.87,46.46741,427.6181,47.3
2002,6,Alaska,all sectors,10.71,44.41843,414.67765,55.0
2002,7,Alaska,all sectors,10.65,44.17369,414.80118,54.8
2002,8,Alaska,all sectors,10.39,45.10194,434.10333,54.5
2002,9,Alaska,all sectors,10.43,45.36055,434.92343,49.8
2002,10,Alaska,all sectors,10.46,46.61964,445.86462,44.5
2002,11,Alaska,all sectors,10.24,47.99188,468.72441,40.3
2002,12,Alaska,all sectors,10.14,49.88714,492.18555,32.1
2003,1,Alaska,all sectors,10.13,54.78497,540.8805,31.9
2003,2,Alaska,all sectors,10.42,49.53765,475.38923,31.9
2003,3,Alaska,all sectors,10.36,47.70462,460.58553,30.7
2003,4,Alaska,all sectors,10.31,45.90003,445.36884,42.0
2003,5,Alaska,all sectors,10.1,44.23752,438.17776,47.1
2003,6,Alaska,all sectors,10.35,43.2815,418.3761,54.0
2003,7,Alaska,all sectors,10.82,46.78709,432.2715,58.3
2003,8,Alaska,all sectors,10.42,46.15811,442.98581,55.1
2003,9,Alaska,all sectors,10.49,46.16419,440.16756,49.1
2003,10,Alaska,all sectors,10.82,48.98607,452.74218,43.5
2003,11,Alaska,all sectors,10.75,52.82753,491.24501,30.8
2003,12,Alaska,all sectors,11.01,57.87371,525.49198,32.1
2004,1,Alaska,all sectors,10.56,60.618,574.05769,25.5
2004,2,Alaska,all sectors,10.71,54.41163,508.18698,35.7
2004,3,Alaska,all sectors,10.92,52.03826,476.43956,34.9
2004,4,Alaska,all sectors,10.77,52.08031,483.37079,41.2
2004,5,Alaska,all sectors,11.16,49.49075,443.65906,51.9
2004,6,Alaska,all sectors,11.18,47.71737,426.6197,58.2
2004,7,Alaska,all sectors,11.05,49.66029,449.44645,59.8
2004,8,Alaska,all sectors,10.78,49.19813,456.30661,59.6
2004,9,Alaska,all sectors,11.07,50.93748,459.98377,49.0
2004,10,Alaska,all sectors,11.17,52.7739,472.60034,41.4
2004,11,Alaska,all sectors,11.21,55.49156,495.05528,37.4
2004,12,Alaska,all sectors,11.35,61.59033,542.75777,32.4
2005,1,Alaska,all sectors,11.13,63.20777,567.83673,25.6
2005,2,Alaska,all sectors,11.28,58.74286,520.65853,29.5
2005,3,Alaska,all sectors,11.39,55.85193,490.42653,37.6
2005,4,Alaska,all sectors,11.4,53.50002,469.23825,44.3
2005,5,Alaska,all sectors,12.1,53.07628,438.65294,53.0
2005,6,Alaska,all sectors,11.73,51.3688,437.96312,56.3
2005,7,Alaska,all sectors,11.78,54.38456,461.70201,54.6
2005,8,Alaska,all sectors,12.25,55.79824,455.34704,57.0
2005,9,Alaska,all sectors,11.25,54.09409,480.84249,50.6
2005,10,Alaska,all sectors,11.8,58.25271,493.75807,42.0
2005,11,Alaska,all sectors,12.09,64.24004,531.22302,35.5
2005,12,Alaska,all sectors,12.48,70.5047,564.92227,34.1
2006,1,Alaska,all sectors,12.14,71.29641,587.364,30.0
2006,2,Alaska,all sectors,12.0,66.59322,554.84579,28.7
2006,3,Alaska,all sectors,12.59,65.72764,522.26355,28.0
2006,4,Alaska,all sectors,12.55,64.52588,514.34858,39.1
2006,5,Alaska,all sectors,13.24,60.66138,458.16646,47.7
2006,6,Alaska,all sectors,13.15,61.92527,470.90915,54.3
2006,7,Alaska,all sectors,13.4,63.33217,472.69605,56.5
2006,8,Alaska,all sectors,13.53,65.40476,483.53149,52.8
2006,9,Alaska,all sectors,12.84,62.80825,489.09607,50.0
2006,10,Alaska,all sectors,12.66,62.497,493.81628,42.3
2006,11,Alaska,all sectors,12.92,70.77206,547.96779,20.0
2006,12,Alaska,all sectors,13.37,78.51996,587.28579,34.3
2007,1,Alaska,all sectors,12.92,78.67077,609.0451,31.3
2007,2,Alaska,all sectors,12.68,70.28546,554.38369,25.4
2007,3,Alaska,all sectors,13.29,73.85548,555.84085,28.7
2007,4,Alaska,all sectors,12.68,66.70176,526.08323,39.2
2007,5,Alaska,all sectors,12.91,62.24751,482.26751,46.9
2007,6,Alaska,all sectors,13.0,61.91189,476.17843,54.2
2007,7,Alaska,all sectors,13.46,66.2236,492.04738,56.0
2007,8,Alaska,all sectors,13.44,68.6459,510.67588,56.4
2007,9,Alaska,all sectors,13.18,65.43191,496.46297,49.8
2007,10,Alaska,all sectors,14.2,70.36753,495.54176,42.1
2007,11,Alaska,all sectors,13.27,71.78736,541.15466,35.5
2007,12,Alaska,all sectors,14.37,84.34185,586.92854,27.6
2008,1,Alaska,all sectors,13.88,86.35432,622.15228,26.6
2008,2,Alaska,all sectors,14.06,83.01539,590.27895,28.2
2008,3,Alaska,all sectors,14.33,77.77241,542.68639,35.0
2008,4,Alaska,all sectors,15.24,77.72585,509.90923,38.5
2008,5,Alaska,all sectors,15.42,75.312,488.30423,48.2
2008,6,Alaska,all sectors,14.9,69.23341,464.75492,51.2
2008,7,Alaska,all sectors,15.79,74.68086,472.88818,52.9
2008,8,Alaska,all sectors,15.27,74.81861,490.10523,53.6
2008,9,Alaska,all sectors,14.88,74.15034,498.29597,49.4
2008,10,Alaska,all sectors,14.64,75.70457,517.25789,41.3
2008,11,Alaska,all sectors,14.6,79.96639,547.75214,35.4
2008,12,Alaska,all sectors,14.36,83.50233,581.55858,22.8
2009,1,Alaska,all sectors,15.32,95.43189,622.89115,26.3
2009,2,Alaska,all sectors,14.68,81.6185,556.03016,27.7
2009,3,Alaska,all sectors,15.17,80.8423,532.85974,29.3
2009,4,Alaska,all sectors,14.8,75.36853,509.11918,39.1
2009,5,Alaska,all sectors,15.26,73.49373,481.76921,48.5
2009,6,Alaska,all sectors,15.52,73.04179,470.70977,55.0
2009,7,Alaska,all sectors,15.67,75.70531,483.18069,60.2
2009,8,Alaska,all sectors,14.8,72.76815,491.70948,55.7
2009,9,Alaska,all sectors,15.26,73.45197,481.4488,49.7
2009,10,Alaska,all sectors,14.8,75.10825,507.57267,42.9
2009,11,Alaska,all sectors,15.16,81.69545,538.87381,35.3
2009,12,Alaska,all sectors,14.76,87.68492,594.00632,28.0
2010,1,Alaska,all sectors,14.32,85.59429,597.8027,29.9
2010,2,Alaska,all sectors,14.6,77.96764,534.17688,36.0
2010,3,Alaska,all sectors,14.44,79.21028,548.42759,36.8
2010,4,Alaska,all sectors,14.94,74.91827,501.56775,41.6
2010,5,Alaska,all sectors,15.21,72.67834,477.74703,51.2
2010,6,Alaska,all sectors,15.0,69.95815,466.32686,53.9
2010,7,Alaska,all sectors,14.76,71.93335,487.39451,54.5
2010,8,Alaska,all sectors,14.67,73.69043,502.30834,56.4
2010,9,Alaska,all sectors,14.58,70.58629,483.97104,50.5
2010,10,Alaska,all sectors,14.52,73.41332,505.7446,43.0
2010,11,Alaska,all sectors,15.06,80.69249,535.67637,34.6
2010,12,Alaska,all sectors,15.12,91.61936,605.89437,24.0
2011,1,Alaska,all sectors,15.47,95.7421,618.90158,28.4
2011,2,Alaska,all sectors,15.56,86.09181,553.3496,25.8
2011,3,Alaska,all sectors,15.86,89.05654,561.59188,29.0
2011,4,Alaska,all sectors,16.02,81.51973,508.81309,39.2
2011,5,Alaska,all sectors,15.87,76.42916,481.60913,48.2
2011,6,Alaska,all sectors,16.28,75.63106,464.61511,54.1
2011,7,Alaska,all sectors,16.74,79.47532,474.85154,56.0
2011,8,Alaska,all sectors,16.24,80.40781,495.03089,53.0
2011,9,Alaska,all sectors,16.4,79.56158,485.06698,49.2
2011,10,Alaska,all sectors,16.49,83.98423,509.36119,42.2
2011,11,Alaska,all sectors,16.23,91.1304,561.50102,30.2
2011,12,Alaska,all sectors,16.03,96.94676,604.84795,34.1
2012,1,Alaska,all sectors,16.98,105.05567,618.73233,27.1
2012,2,Alaska,all sectors,15.93,94.81273,595.16679,33.8
2012,3,Alaska,all sectors,16.84,93.76434,556.74138,33.3
2012,4,Alaska,all sectors,15.87,81.83258,515.78731,41.9
2012,5,Alaska,all sectors,16.76,80.57236,480.61039,44.5
