state,year,month,month_name,avg_temp,precipitation,snowfall
New York,2012,4,April,49.44502417381659,2.0336103464670217,0.1698291738108846
New York,2012,5,May,62.75344271426074,3.1296540783363094,0.0
New York,2012,6,June,68.1576175505472,3.5299133473891064,0.0
New York,2012,7,July,75.18665870336994,1.8592102574813063,0.0
New York,2012,8,August,72.64696602405911,2.1554936582840907,0.0
New York,2012,9,September,64.38885504125167,2.5633861209893163,0.0
New York,2012,10,October,55.114136517718165,2.212175368106382,0.0
New York,2012,11,November,39.787116433226515,0.8519070421151119,2.8911064278187566
New York,2012,12,December,37.43485985900449,3.6508886038071298,18.82301879643644
New York,2013,1,January,30.88129123561026,1.396181524688266,27.548571213594386
New York,2013,2,February,29.58855222843382,2.31905748052259,60.53151334093957
New York,2013,3,March,35.76259415875729,1.3991437052556437,13.245356985038825
New York,2013,4,April,47.80267086106825,1.4033975629145647,1.449378050700677
New York,2013,5,May,59.327825771171405,2.274860354362734,0.0
New York,2013,6,June,67.58347680160036,5.706797859376555,0.0
New York,2013,7,July,75.14557348277924,1.927739159207994,0.0
New York,2013,8,August,69.80280145261153,1.847818799732456,0.0
New York,2013,9,September,62.35971721684561,1.7613964237563426,0.0
New York,2013,10,October,55.05177397341156,1.2043994741120243,0.0
New York,2013,11,November,40.31396673101382,1.66383147257307,6.244665625813166
New York,2013,12,December,32.426505456331995,2.554631137911332,22.69614772285317
New York,2014,1,January,23.49623237192337,1.4962441569123175,67.17208211512083
New York,2014,2,February,25.220911190164138,2.417472688008367,139.91643196440688
New York,2014,3,March,31.27979112098319,2.176628913792732,36.13423806928429
New York,2014,4,April,47.18031356003331,3.695978006783656,2.491263018197359
New York,2014,5,May,59.811645288124126,2.224061451024476,0.0
New York,2014,6,June,68.62842768018724,1.882376858381052,0.0
New York,2014,7,July,71.40293375171052,3.060641851685067,0.0
New York,2014,8,August,69.43278975182852,2.7837586353019423,0.0
New York,2014,9,September,64.62058205553654,1.0908640191400685,0.0
New York,2014,10,October,55.661469352433244,2.460754833024437,0.0
New York,2014,11,November,40.74409766994428,2.244370540141835,5.570160479251388
New York,2014,12,December,36.157945630575405,2.704485815331174,11.730953323461987
New York,2015,1,January,24.397621457274447,2.422109036477364,56.75847263774927
New York,2015,2,February,17.257514081796188,2.405785747785329,240.8199323684172
New York,2015,3,March,32.2405486649232,2.272487958519641,100.5366303409144
New York,2015,4,April,48.27049816881487,1.3715593596463178,0.3683241252302026
New York,2015,5,May,62.94961706458257,1.293673260014806,0.0
New York,2015,6,June,66.8186659736973,3.4413005974686577,0.0
New York,2015,7,July,73.0311421806959,1.6130658539975258,0.0
New York,2015,8,August,72.5923917969143,1.515844405374734,0.0
New York,2015,9,September,68.44018874161496,2.368546310712706,0.0
New York,2015,10,October,52.6905413558388,2.2094519995551707,0.0
New York,2015,11,November,47.883616709137115,1.247894719527851,0.0734618916437098
New York,2015,12,December,45.01911415098561,2.9408986305966467,0.9016854764655352
New York,2016,1,January,30.126238698754165,1.696656265674026,83.77034071164161
New York,2016,2,February,32.67467706866462,8.461440707369697,34.86903830873116
New York,2016,3,March,42.995751000238776,1.2004152189287631,2.577917479652559
New York,2016,4,April,46.74077254790705,1.3192040237047309,2.6269004967635103
New York,2016,5,May,58.5345899807232,1.9548415637175984,0.0
New York,2016,6,June,68.2882782903051,1.2589424364875816,0.0036529680365296
New York,2016,7,July,74.7292894752168,2.6503850155830384,0.0
New York,2016,8,August,75.13221491817004,1.493294708315925,0.0044189129474149
New York,2016,9,September,67.0051550305625,1.8094148156044496,0.0
New York,2016,10,October,54.50250050017539,2.812082953078757,0.0265134776844896
New York,2016,11,November,45.198133643843065,2.1560810052427195,8.25197328476017
New York,2016,12,December,33.772293193717275,2.1418422417664,21.92706051220065
New York,2017,1,January,33.30564794729372,2.039304814484057,19.231761980307724
New York,2017,2,February,35.91097838789854,1.33866390315752,43.0475800156128
New York,2017,3,March,33.78094261050512,2.7360259293686364,35.037575650743285
New York,2017,4,April,52.30553705905668,2.755537014712881,0.45433340081427
New York,2017,5,May,57.42102036181187,3.368032020998982,0.0
New York,2017,6,June,67.69047542820363,2.8228404885276843,0.0
New York,2017,7,July,72.1705394154607,2.6217849646442217,0.0
New York,2017,8,August,69.65767518158788,2.1756897809707603,0.0
New York,2017,9,September,65.82000718961123,1.3474205407877038,0.0
New York,2017,10,October,58.91364366045567,5.055961348463255,0.0
New York,2017,11,November,41.88019944903661,1.4831870165084038,0.672455292650318
New York,2017,12,December,29.258719959815792,1.1544622637094388,29.1770192475964
New York,2018,1,January,26.270173555746354,1.656365980828773,76.85059994783062
New York,2018,2,February,35.12526232754039,3.592662219119391,23.83009273628048
New York,2018,3,March,34.78814019998792,2.379157227642569,49.95546269101941
New York,2018,4,April,42.93395746195904,2.469575444114253,2.055399274047187
New York,2018,5,May,62.6904920247962,2.1065227972571554,0.0
New York,2018,6,June,67.24043486667091,2.3453024771478197,0.0
New York,2018,7,July,74.17932689704749,3.033483054140054,0.0
New York,2018,8,August,74.15338143568935,3.4199919982849933,0.0
New York,2018,9,September,66.99120170023902,3.6173837492974954,0.0
New York,2018,10,October,52.87558131049917,2.531719133892521,0.0045292608489476
New York,2018,11,November,39.292637281369075,4.69801564727213,11.903498800050524
New York,2018,12,December,34.55940331614936,3.364280680405527,7.908218470995621
New York,2019,1,January,26.73585767821333,2.4006963819396625,38.45324539636933
New York,2019,2,February,30.067911281865342,2.2394279608683583,29.265543024227235
New York,2019,3,March,35.73087676087231,1.6899121732155218,21.42511907049024
New York,2019,4,April,49.04863789352605,3.082035412270244,0.447459165154265
New York,2019,5,May,57.632559012364595,3.873472300723975,0.0
New York,2019,6,June,67.16415759909616,2.968711699130004,0.0
New York,2019,7,July,75.0264158714813,2.754670124075912,0.0
New York,2019,8,August,70.72562168521024,2.4155249051768606,0.0
New York,2019,9,September,64.96221779066957,1.235861539525683,0.0
New York,2019,10,October,55.102938126292436,3.915677410774933,0.0
New York,2019,11,November,38.55101474706809,1.359304888384701,8.545294635004398
New York,2019,12,December,33.41228344522679,3.541668862584696,16.46347696013258
New York,2020,1,January,33.12859766900651,1.3207346209728117,12.908603440138036
New York,2020,2,February,33.06949763171676,1.6201793702683709,31.26872730480228
New York,2020,3,March,42.06665425865222,2.184811832815549,3.443587639809705
New York,2020,4,April,45.124238907342814,2.6877790030402027,0.5587138863000932
New York,2020,5,May,56.67972444973344,1.4254479054147495,0.022980679206741
New York,2020,6,June,68.90405297616573,1.555800219292098,0.0
New York,2020,7,July,76.07545064709291,3.100987769139663,0.0
New York,2020,8,August,72.56641218920689,2.151764090026082,0.0
New York,2020,9,September,64.06852989965503,1.9028552647951853,0.0
New York,2020,10,October,53.459062531713116,2.8971339947797023,0.002615518744551
New York,2020,11,November,46.65859973724397,2.788395798031587,0.1876425461331121
New York,2020,12,December,34.57643823124449,2.2067481435606005,29.1687997392284
New York,2021,1,January,29.414913760842804,1.745829156376141,19.54552115877904
New York,2021,2,February,28.076706993702352,2.897746348833305,167.2383409951716
New York,2021,3,March,40.0131060989623,2.098817330654638,5.666292108340651
New York,2021,4,April,49.15928427317664,2.864512338425382,0.9976719380009648
New York,2021,5,May,58.02735199461118,3.0970963951328607,0.0
New York,2021,6,June,70.0631716937355,2.4661731296513905,0.0
New York,2021,7,July,71.40916173939075,5.9256132947211455,0.0
New York,2021,8,August,73.63844846942594,4.496729286730035,0.0
New York,2021,9,September,66.12264037122969,4.6953905645785,0.0
New York,2021,10,October,58.384010927325804,4.99123568595165,0.0
New York,2021,11,November,41.545986078886315,1.730924207269915,1.0107174945449875
New York,2021,12,December,38.30453334331263,2.02976947833246,2.937088843251185
New York,2022,1,January,23.80671955691939,2.5403712296983763,67.75154138790502
New York,2022,2,February,30.354181305933047,3.3109587338415647,65.72196449606918
New York,2022,3,March,39.02488361649577,2.7601489409475337,8.470065315457216
New York,2022,4,April,47.66029861111111,3.716385030864197,0.7620345140781107
New York,2022,5,May,61.072621312569524,2.9562100475531605,0.0
New York,2022,6,June,67.33837241379311,3.146996168582376,0.0
New York,2022,7,July,74.55461624026697,2.0794364108268444,0.0
New York,2022,8,August,74.04757285873194,1.985791620318873,0.8403136695776153
New York,2022,9,September,64.48227586206897,3.664662835249042,0.0
New York,2022,10,October,52.861672969966634,3.5778086763070074,0.0
New York,2022,11,November,45.52003448275862,3.056310344827586,9.443724442685662
New York,2022,12,December,33.66846051167965,3.371134593993326,20.38358433631421
New York,2023,1,January,36.16657619577308,3.5415016685205782,8.60064575012022
New York,2023,2,February,34.001347290640396,1.8089367816091957,11.71036333608588
New York,2023,3,March,37.93833815350389,2.8191768631813123,14.31036733171732
New York,2023,4,April,51.62584827586207,3.977348659003832,0.0
New York,2023,5,May,57.807341490545056,1.5780571004820172,0.0
New York,2023,6,June,65.90793793103448,2.775739463601533,0.0
New York,2023,7,July,74.10693882091212,4.967196885428254,0.0
New York,2023,8,August,70.0330723025584,4.461349647756767,0.0
New York,2023,9,September,65.22315172413792,5.060436781609195,0.0
New York,2023,10,October,56.08527474972192,2.8812235817575083,0.0
New York,2023,11,November,41.18819310344828,1.8821494252873563,1.0579297245963912
New York,2023,12,December,39.4374171301446,5.155469039673712,1.6576370328934191
New York,2024,1,January,31.662865406006674,4.545342973674453,23.988472698150115
New York,2024,2,February,34.53838525564804,1.441177170035672,13.133057395066563
New York,2024,3,March,42.16094994438265,5.114441972562106,5.240032057703867
New York,2024,4,April,49.39280689655172,3.9819961685823753,0.5304347826086957
New York,2024,5,May,61.67656062291435,3.181153133110864,0.0
New York,2024,6,June,70.49680000000001,3.4024674329501914,0.0
New York,2024,7,July,74.65271190211345,2.835806451612903,0.0
New York,2024,8,August,70.9877826359773,4.94612659086446,0.0
New York,2024,9,September,65.20239706698374,1.3916484239179443,0.0
New York,2024,10,October,54.80476573971079,0.9822014584105796,0.3816158781074579
New York,2024,11,November,56.04952630453379,3.511764705882353,
California,2001,1,January,47.269275768750646,2.504305847699688,0.4053333333333333
California,2001,2,February,49.356545800248384,3.9196450711682527,1.197142857142857
California,2001,3,March,56.354318967921344,1.34628552777166,0.0
California,2001,4,April,55.62468892257168,0.9792164201760704,0.0
California,2001,5,May,67.9085474443129,0.0293345056877507,0.0
California,2001,6,June,70.31236921810219,0.0844522453059184,0.0
California,2001,7,July,70.71855387610782,0.0307225524502533,0.0
California,2001,8,August,71.74213739359104,0.0097944512628251,0.0
California,2001,9,September,68.63963229516534,0.0965356021591702,0.0
California,2001,10,October,64.0815138723238,0.2119988344988345,0.0
California,2001,11,November,56.30269097096689,2.1320863283103857,0.0279329608938547
California,2001,12,December,49.520904470919724,3.530296980464234,0.0270318976392142
California,2002,1,January,47.39832181205551,1.021188691344458,0.0
California,2002,2,February,52.21732688576854,0.7947510720083123,0.0
California,2002,3,March,53.51792996828601,1.140846229630143,0.0
California,2002,4,April,58.109624787444886,0.268799316780949,0.0
California,2002,5,May,62.397296474851316,0.2966265788749173,0.0
California,2002,6,June,68.81030372955381,0.0141596873255164,0.0
California,2002,7,July,72.29052489153824,0.0087286381623084,0.0
California,2002,8,August,70.79315491976575,0.0044826842162045,0.0
California,2002,9,September,69.82581150356546,0.0328788490370199,0.0
California,2002,10,October,61.40338558967848,0.0135393246304887,0.0
California,2002,11,November,56.942579271324064,1.9048805144518943,0.0
California,2002,12,December,50.46327037985262,4.988616083427914,0.0
California,2003,1,January,53.86805997050155,0.7188676188750491,0.0
California,2003,2,February,51.43913132627047,2.2981791000489333,0.0
California,2003,3,March,56.09282475806842,1.3460674422120833,0.0
California,2003,4,April,55.1963582842725,1.77080801767575,0.0
California,2003,5,May,63.08966686465003,0.6468186771495411,0.0
California,2003,6,June,68.79631266595342,0.0111136712749615,0.0
California,2003,7,July,74.28796017455176,0.0272369420427735,0.0
California,2003,8,August,72.90036728498393,0.1139497703917007,0.0
California,2003,9,September,70.88514699717098,0.0641886331966292,0.0
California,2003,10,October,65.91983013079457,0.1917292170922277,0.0
California,2003,11,November,52.759145104635635,1.0275215699555935,0.0
California,2003,12,December,50.11810060547761,2.7068510491174917,0.2514474772539288
California,2004,1,January,49.00677648671808,0.95808866276605,0.0
California,2004,2,February,50.8523081650944,4.354373148479067,0.0
California,2004,3,March,59.86988227520972,0.6651274865741174,0.0
California,2004,4,April,61.00005158403349,0.5151115686750313,0.0
California,2004,5,May,65.09606017939716,0.3331025411603419,0.0
California,2004,6,June,68.45576541294963,0.0805463735436906,0.0
California,2004,7,July,72.05483433145403,0.0595863845030276,0.0
California,2004,8,August,71.9564177591533,0.1144891762494784,0.0
California,2004,9,September,70.56108904331938,0.0797071076971865,0.0
California,2004,10,October,61.316034709990916,2.6148128792784613,0.0
California,2004,11,November,52.89092804020318,0.8062119507934781,0.0
California,2004,12,December,49.70877554314185,9.880213163879173,0.4681043856469735
California,2005,1,January,49.44470560824837,2.9141961889318293,4.357651912978245
California,2005,2,February,53.537312139379765,3.378301903270172,0.0
California,2005,3,March,56.21427409331491,1.9582733364690168,0.0
California,2005,4,April,57.39000944170772,0.9380375231260578,0.0
California,2005,5,May,64.25074674360494,0.9857354442720474,0.0
California,2005,6,June,66.58364833543521,0.3035471431921136,0.0
California,2005,7,July,73.92712846245087,0.0579894153078888,0.0
California,2005,8,August,71.74257740450895,0.0998353403183662,0.0
California,2005,9,September,66.05876874927728,0.116058818710845,0.0
California,2005,10,October,61.810644666357774,0.4661629709105002,0.0
California,2005,11,November,56.44883687242821,0.9626191633995136,0.0
California,2005,12,December,51.60850875294808,3.306325557250823,0.0277274374773468
California,2006,1,January,50.240409525653,1.802985389025244,0.1747860434496379
California,2006,2,February,52.204266363545344,1.2450932704593731,0.1308379120879121
California,2006,3,March,49.96087232259758,2.6546865911099475,0.0948766603415559
California,2006,4,April,56.86737948965466,1.6874523368751633,0.0240384615384615
California,2006,5,May,64.944918778757,0.3931696058861618,0.0
California,2006,6,June,71.83934383244946,0.072797085445816,0.0
California,2006,7,July,76.92317752621732,0.0599923179241342,0.0
California,2006,8,August,71.4266934818729,0.0517297163015957,0.0
California,2006,9,September,68.55159728098101,0.0784879950271705,0.0
California,2006,10,October,61.02290474190416,0.1940906530154862,0.0
California,2006,11,November,55.77976398580394,0.7918789882007538,0.0
California,2006,12,December,48.727260620223504,1.2544525947255536,0.0474565756823821
California,2007,1,January,46.27837178753289,0.3431789177922326,0.0
California,2007,2,February,51.80485611468755,2.0173120915317715,0.0782967032967033
California,2007,3,March,57.497271727791784,0.2848381558961856,0.0
California,2007,4,April,58.91065093251615,0.6473666375621661,0.0
California,2007,5,May,64.37823418911276,0.1323769365084715,0.0
California,2007,6,June,69.25804800619683,0.0767246382220145,0.0
California,2007,7,July,73.54254301208988,0.1811402287585667,0.0
California,2007,8,August,73.74543989397554,0.2315656607273425,0.0
California,2007,9,September,68.1304637147581,0.2149425679442415,0.0
California,2007,10,October,61.70183168110262,0.6854588660260695,0.0
California,2007,11,November,55.73247106175455,0.4711619310713494,0.0
California,2007,12,December,47.26084813598691,1.4735484828980814,0.0237191650853889
California,2008,1,January,47.676059298583965,3.497168251014168,0.6736242884250474
California,2008,2,February,50.466480570601135,1.2101591673291734,0.7572836030964109
California,2008,3,March,54.87494259878579,0.1934495223230394,0.0232630272952853
California,2008,4,April,58.50299474757831,0.149768456440798,0.0
California,2008,5,May,63.95151001398625,0.1513605865531554,0.0
California,2008,6,June,70.5606092413773,0.0744807214705173,0.0
California,2008,7,July,73.10943352321736,0.1451344150133727,0.0
California,2008,8,August,73.7600890622133,0.0541679354347775,0.0
California,2008,9,September,70.41136175309639,0.1712444550509958,0.0
California,2008,10,October,63.97855837117032,0.2518542552609425,0.0
California,2008,11,November,57.344525238869124,1.0905195097532865,0.0
California,2008,12,December,46.74094634522808,1.4348272657327936,0.2354218362282878
California,2009,1,January,50.50306292312058,0.49757076651199,0.0
California,2009,2,February,50.569393649375584,3.09919592026054,0.1593406593406593
California,2009,3,March,53.81723657020481,0.7614253642406945,0.0
California,2009,4,April,57.97882646297495,0.2947690542401886,0.073076923076923
California,2009,5,May,66.18603821473181,0.356006752540332,0.0
California,2009,6,June,67.61938542291921,0.2344419022923513,0.0
California,2009,7,July,73.58070511995618,0.069714011957199,0.0
California,2009,8,August,72.61935793316525,0.1029614552565271,0.0
California,2009,9,September,71.82724674038485,0.1195782932919479,0.0
California,2009,10,October,61.09244788411356,1.1203001516313418,0.0
California,2009,11,November,53.707363388805504,0.3005485414393563,0.016025641025641
California,2009,12,December,46.937151876265375,1.467706312325762,2.999276261373036
California,2010,1,January,49.52875507336722,3.025345259659309,3.6715260545905695
California,2010,2,February,51.6631836863109,2.254988026440276,0.595932944606414
California,2010,3,March,53.591690343889525,0.8689825986421315,0.0
California,2010,4,April,54.77475019178722,1.4448237579930368,0.0574452003023431
California,2010,5,May,59.859257149988835,0.4372438039402901,0.0
California,2010,6,June,68.36635864599558,0.204930557726202,0.0
California,2010,7,July,71.45918365441196,0.1557578715217612,0.0
California,2010,8,August,70.44473502454234,0.0824208397421909,0.0
California,2010,9,September,69.47396627181462,0.1619627627061384,0.0
California,2010,10,October,62.84125650610913,2.5921882463127317,0.0
California,2010,11,November,52.99495285781222,1.1203265284443482,0.0721153846153846
California,2010,12,December,50.62596352688477,5.875366687375859,0.1405086848635235
California,2011,1,January,48.570579378013065,0.6587781728029201,0.069789081885856
California,2011,2,February,48.261602088387804,2.9556578020595734,3.4173534798534795
California,2011,3,March,53.25956630070026,5.522302134765178,0.5272952853598014
California,2011,4,April,57.24600499165271,0.3660892639831395,0.0490196078431372
California,2011,5,May,60.10022110023455,0.571282863041335,0.0
California,2011,6,June,66.418868066741,0.7049998461110561,0.0
California,2011,7,July,72.03621558846402,0.1776285895438218,0.0
California,2011,8,August,71.82028484091099,0.0935414057824044,0.0
California,2011,9,September,70.52999168282571,0.0958209336581181,0.0
California,2011,10,October,62.822170848123534,0.7417222295415706,0.0
California,2011,11,November,52.10895363676583,1.0450184694430815,0.0
California,2011,12,December,46.19241917837772,0.3074458056612832,0.0
California,2012,1,January,49.58245485208406,1.3798920193926654,0.0871654083733699
California,2012,2,February,51.29995101843761,0.5302945716489155,0.3612016929161173
California,2012,3,March,53.06975253775069,3.485783131932477,0.1414129940935938
California,2012,4,April,58.436297944436085,1.1671102948611662,0.0
California,2012,5,May,64.5357353425147,0.1207686544434539,0.0
California,2012,6,June,68.41356977068884,0.1717190088774535,0.0
California,2012,7,July,71.7629321366276,0.117474576971949,0.0
California,2012,8,August,74.41255830661143,0.1281399975665081,0.0
California,2012,9,September,71.06666972501907,0.0461995173921942,0.0
California,2012,10,October,63.87154484842719,0.445340653040967,0.0
California,2012,11,November,55.6968209347589,1.4824874050590864,0.0
California,2012,12,December,48.645709439525476,2.72518598328562,0.2852112676056338
California,2013,1,January,46.182742370406224,0.5833558113590435,0.1202862335302135
California,2013,2,February,49.287308929887885,0.3968022187744167,0.1149396378269617
